-13	456.681	0.889546	-144.2	-1055.12
-13	1342.35	0.929646	1149.56	884.656
-13	799.537	0.948314	290.334	-515.379
-13	773.602	0.221341	1254.37	-1268.87
13	710.736	1.04467	-992.848	-871.995
13	437.924	0.766696	-348.448	229.956
-13	1148.77	1.03106	-1031.03	-172.264
13	647.934	0.322937	-163.966	241.294
-13	693.622	0.786484	-910.872	226.595
13	421.917	0.634669	1177.91	-1295.19
13	413.188	0.772791	846.321	22.9551
-13	471.255	0.243866	-118.879	210.49
-13	404.824	1.1192	671.796	-1041.85
-13	471.386	1.13521	-809.114	-406.316
13	443.666	0.758884	-824.129	-720.034
-13	531.841	0.0304382	-814.142	951.257
-13	436.679	0.601539	945.292	6.358
-13	886.923	1.15512	1255.74	660.522
13	580.5	1.14913	173.422	-86.6996
-13	539.764	1.16468	1411.71	-822.962
13	1193.28	0.00996707	-55.0987	-764.715
13	437.469	0.286187	-1207.29	554.966
13	667.098	0.988037	524.036	-332.997
13	523.989	1.18925	896.301	439.327
-13	409.23	0.535389	1028.08	434.81
-13	680.225	0.567806	-1153.67	452.197
-13	616.078	0.456115	507.004	442.459
-13	853.295	1.14575	-477.511	-1201.02
-13	456.716	0.663112	-908.581	356.004
13	485.109	0.648635	-323.041	1195.71
-13	757.882	0.00583466	203.208	-928.063
-13	503.586	0.0294308	699.297	1246.31
13	446.509	1.01599	-1397.36	-247.097
-13	501.242	0.228231	1373.64	1038.42
13	430.24	0.533271	1484.21	-502.429
-13	503.989	0.637173	144.066	-970.036
-13	651.474	0.315459	421.682	-976.338
-13	523.561	0.148509	-1201.68	222.497
-13	412.002	0.907216	1371.48	-750.56
-13	875.964	0.624901	138.217	910.947
13	522.864	0.328866	-443.762	-1161.08
-13	463.508	0.418165	395.473	-236.799
13	434.535	0.0599314	767.041	870.891
-13	400.584	0.386625	-396.821	595.746
-13	422.327	0.0473084	-350.303	-1028.74
13	542.428	0.99707	-255.262	384.23
13	1072.21	0.887288	894.834	1439.71
13	484.564	0.7654	-414.837	38.4413
13	870.263	0.271521	-550.892	-162.62
13	457.255	0.870977	740.933	671.947
13	714.601	0.599426	-78.3556	1309.68
-13	436.824	0.349678	-84.2785	-1390.33
-13	1438.77	1.14643	-323.316	1053.64
13	448.406	0.250622	666.844	433.728
-13	505.832	0.0846549	309.748	-182.455
-13	452.55	0.0147853	1325.42	-423.262
13	807.554	0.466621	-96.7677	737.766
-13	491.082	0.490952	-461.22	907.285
-13	618.261	0.433691	-29.2943	-279.821
-13	5107.24	0.900304	-799.953	-761.998
13	549.737	0.0182217	-891.426	1152.24
13	504.48	0.852443	-993.882	639.581
-13	522.784	1.05702	-992.084	1424.8
-13	465.143	1.16603	212.737	364.888
13	484.592	0.561123	834.633	1256.96
-13	438.842	0.804091	244.879	211.98
-13	881.074	1.07662	-73.8502	-1328.29
-13	460.44	0.967835	415.076	215.082
13	1145.12	0.713999	-1029.76	-60.0397
-13	560.299	0.369088	839.511	-308.911
13	772.147	0.727178	1114.41	928.491
-13	408.331	0.686298	-1365.14	336.613
-13	406.786	0.696871	715.91	1004.33
13	528.663	1.01693	-1041.53	171.104
13	649.013	0.0829621	-2.81278	358.13
13	485.551	0.832188	-1326.25	-186.427
13	437.823	0.654191	-1448.83	77.1432
13	523.657	1.06115	-969.796	534.584
13	1139.57	1.2156	807.308	-906.43
-13	518.65	1.14214	-716.168	768.02
13	596.673	0.00627163	237.249	-79.9047
-13	673.025	1.06436	-768.968	-333.305
-13	576.053	0.925134	-441.978	-665.755
13	428.991	1.09955	-589.666	-1434.9
-13	1013.37	0.75161	919.157	427.754
13	534.572	1.03007	442.851	-1061.89
13	508.771	0.992745	-884.052	-1086.53
13	438.114	0.833539	801.993	661.932
13	2203.84	1.03818	-231.431	-1275.23
-13	437.15	0.110578	1343.72	230.585
13	429.234	0.259896	-293.009	1019.77
13	450.35	0.745142	-214.512	1240.52
13	486.739	0.892019	1028.32	1289.63
-13	597.071	1.1191	984.529	-258.369
-13	761.261	0.89717	-744.54	-201.682
13	832.596	0.963381	898.592	-484.6
-13	740.177	0.389595	-697.968	131.696
13	654.432	0.25342	-207.624	-430.12
-13	411.345	0.193463	-384.684	-1356.37
-13	987.834	0.857397	-250.664	-231.838
13	629.071	0.867285	121.577	-609.157
13	534.281	0.5999	494.629	653.94
-13	558.811	0.77531	-132.999	-84.15
13	553.228	0.838244	-1497.02	968.208
-13	879.39	0.779455	-168.938	893.716
13	454.067	0.985855	933.361	271.753
-13	1486.44	1.14666	213.304	182.942
13	2771.13	1.12497	1122.49	1169.65
-13	1758.04	1.19608	470.252	825.25
-13	493.539	0.613198	821.273	921.486
13	573.414	1.07161	1484.77	-237.524
-13	458.203	0.660355	1246.1	-193.981
13	437.656	0.351163	-1264.4	323.433
-13	523.243	1.20623	1025.93	863.673
13	417.577	0.284032	-1103.23	1114.85
13	498.471	0.981523	1398.7	1241.74
-13	1024.14	0.225896	-1000.8	-1338.38
13	1167.06	1.09221	-151.7	-1403.99
13	868.685	0.894692	17.8548	-437.793
13	971.384	1.18116	936.808	-1176.54
13	482.412	0.625878	-624.574	775.161
13	1053.88	0.295522	-485.141	-420.119
-13	620.2	1.08143	657.746	-933.435
13	1377.95	0.97895	-599.976	-112.389
-13	1293.57	0.425299	-962.607	203.464
-13	423.536	0.475917	-59.0714	128.381
-13	677.499	0.960442	-455.818	476.768
-13	824.401	1.11425	-216.183	21.3596
-13	482.358	0.270693	757.297	-682.86
-13	626.349	0.867648	-1032.07	-333.997
-13	1088.89	0.129194	863.646	842.978
-13	778.107	0.484147	765.83	-1151.17
13	487.727	0.294334	-1403.23	1325.41
13	941.986	1.1779	1361.05	-672.727
-13	401.752	0.517413	540.537	877.983
-13	488.028	0.386555	-656.852	-1173.82
-13	677.005	0.282883	602.472	-1191.34
-13	491.537	0.922325	-215.241	20.5944
-13	1072.04	0.630385	-849.474	-676.569
13	503.367	0.0495826	166.308	-508.864
13	473.169	0.598512	814.989	203.555
-13	644.896	0.0700137	753.665	510.865
13	486.238	0.0763102	-1485.14	-644.957
-13	674.171	0.246365	1036.54	800.683
13	554.87	1.21365	-804.599	-589.809
-13	437.935	0.199724	-9.08376	-1498.76
-13	1144.76	0.5751	505.078	-564.762
-13	695.01	0.948614	416.624	-390.238
13	438.86	0.541554	121.788	-803.706
-13	400.465	0.400939	60.0958	-368.358
-13	405.259	0.445386	-1411.68	314.046
13	675.296	0.84521	121.923	643.474
-13	519.118	0.438914	1038.86	500.437
13	790.668	0.90606	44.4288	560.741
-13	462.535	0.185245	858.765	96.6884
-13	477.733	0.949067	593.424	575.258
-13	3144.73	0.992497	1400.22	72.4289
13	508.636	0.20461	-1076.81	809.043
-13	511.266	0.334064	-733.039	-1062.97
13	510.391	1.11804	599.995	-561.774
-13	450.519	0.145236	-72.7547	-548.795
-13	662.25	1.17315	469.461	-1159.76
-13	452.96	0.106175	58.7622	916.214
13	413.854	0.417692	913.418	-1189.54
-13	563.721	0.154656	-1265.16	379.891
